이미지 주소,브랜드,상품명,판매가격,원가,할인율,리뷰수,별점,상품 상세 이미지,중분류,소분류
https://cdn.chicor.com/images/product/20230925153128867.jpg?d=600x0,나스,[홀리데이] 래디언트 크리미 컨실러,39600,44000,10,1,100,['https://cdn.chicor.com/images/editor/20230925153036003.jpg'],베이스메이크업,컨실러
https://cdn.chicor.com/images/product/20230512171954617.png?d=600x0,가히,가히 한겹 듀얼 컨실러,17500,25000,30,1,100,['https://image.oliveyoung.co.kr/uploads/images/editor/QuickUpload/C19207/image/20230419174907/qc19_20230419174907.jpg'],베이스메이크업,컨실러
https://cdn.chicor.com/images/product/20220405132217199.jpg?d=600x0,끌레드뽀보떼,컨실러 N,76000,80000,5,3,100,['https://cdn.chicor.com/images/editor/20230201095234131.jpg'],베이스메이크업,컨실러
https://cdn.chicor.com/images/product/20230307144111722.png?d=600x0,샬롯틸버리,뷰티풀 스킨 래디언트 컨실러,40500,45000,10,2,100,['https://img.lottegfr.co.kr/CharlotteTilbury/main2/110011.jpg'],베이스메이크업,컨실러
https://cdn.chicor.com/images/product/20230131160129718.jpg?d=600x0,나스,퓨어 래디언트 프로텍션 아쿠아 글로우 쿠션 파운데이션 SPF23/PA++ 리필,44100,49000,10,469,99,['https://cdn.chicor.com/images/editor/20230201042908960.jpg'],베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20231113094116697.jpg?d=600x0,헤라메이크업,헤라 블랙 쿠션 (본품+리필),59400,66000,10,311,99,"['https://cdn.chicor.com/images/editor/20230105135952119.jpg', 'https://cdn.chicor.com/images/editor/20230105140004807.gif', 'https://cdn.chicor.com/images/editor/20230105140018669.jpg']",베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20220303091243995.png?d=600x0,헤라메이크업,헤라 블랙 쿠션 (리필),29700,33000,10,149,99,"['https://cdn.chicor.com/images/editor/20230105140843418.jpg', 'https://cdn.chicor.com/images/editor/20230105140855309.gif', 'https://cdn.chicor.com/images/editor/20230105140908866.jpg']",베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20230804110050697.jpg?d=600x0,정샘물,에센셜 스킨 누더 쿠션(리필포함),35700,42000,15,147,99,"['https://cdn.chicor.com/images/editor/20221024172913747.jpg', 'https://cdn.chicor.com/images/editor/20221024172918420.jpg', 'https://cdn.chicor.com/images/editor/20221024172923131.jpg']",베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20230407142016921.jpg?d=600x0,나스,네츄럴 래디언트 롱웨어 쿠션 파운데이션 SPF50/PA+++ 리필,44100,49000,10,96,99,['https://cdn.chicor.com/images/editor/20230201042926739.jpg'],베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20210915160152942.jpg?d=600x0,블랑디바,블랑디바 글림커버리지 쿠션 세트,45000,45000,0,7,100,"['https://cdn.chicor.com/images/editor/20220524164544387.jpg', 'https://cdn.chicor.com/images/editor/20210914201802207.jpg', 'https://cdn.chicor.com/images/editor/20211130102426022.jpg']",베이스메이크업,쿠션
